Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,EMA_10,EMA_50,RSI_14,MACD,Signal_Line,BB_Mid,BB_Upper,BB_Lower
2019-02-15 05:00:00,4.040961584569632,4.063776229620789,3.879025566828743,3.9018404483795166,1516748000,0.0,0.0,,,3.9018404483795166,3.9018404483795166,,0.0,0.0,,,
2019-02-19 05:00:00,3.891176968880183,3.9650774241791567,3.872081989551085,3.884481191635132,551892000,0.0,0.0,,,3.8986842198805376,3.9011596932130703,,-0.0013847840137968248,-0.00027695680275936497,,,
2019-02-20 05:00:00,3.91374304521135,3.9990508075499385,3.9025838126812116,3.9318461418151855,540988000,0.0,0.0,,,3.9047136602322916,3.90236308335433,,0.0013244528446150206,4.332512671551214e-05,,,
2019-02-21 05:00:00,3.9444940848104943,3.9690446354819224,3.8482746947869026,3.862905979156494,448548000,0.0,0.0,,,3.8971122636730553,3.900815745934807,,-0.002067519319939315,-0.0003788437626154533,,,
2019-02-22 05:00:00,3.914735433353744,3.9665647922098772,3.9010960288128276,3.9477176666259766,401740000,0.0,0.0,,,3.9063132460281316,3.902655036942304,,0.002064118803059678,0.00010974875051957298,,,
2019-02-25 05:00:00,4.031289768534208,4.098742290588699,3.926638698421056,3.9353184700012207,656020000,0.0,0.0,,,3.9115869231141476,3.903935955885791,,0.004288524794852755,0.0009455039593862094,,,
2019-02-26 05:00:00,3.930607186610117,3.9866523943738374,3.8624103916943917,3.8958888053894043,488464000,0.0,0.0,,,3.9087327198914665,3.903620381356521,,0.0028370345938069086,0.0013238100862703493,,,
2019-02-27 05:00:00,3.8815050557183834,3.9080396001955076,3.796941079890484,3.853978395462036,500256000,0.0,0.0,,,3.8987773881770247,3.9016736368116396,,-0.0016757842712333826,0.000723891214769603,,,
2019-02-28 05:00:00,3.847772307067805,3.870114248665196,3.8070605034741867,3.829402208328247,324944000,0.004,0.0,,,3.8861637191136102,3.8988394631456242,,-0.007152864871083242,-0.0008514600024009661,,,
2019-03-01 05:00:00,3.879299074583445,3.925968759571321,3.8209619683485996,3.883767604827881,357188000,0.0,0.0,3.8927146911621096,,3.88572806197075,3.8982484098782617,,-0.007025670009215723,-0.0020863020037639175,,,
2019-03-04 05:00:00,3.9222460147778806,3.9450844109125547,3.8353607245995063,3.891960382461548,409992000,0.0,0.0,3.8917266845703127,,3.886861211150895,3.8980018205678024,,-0.00619239638872271,-0.002907520880755676,,,
